string,string,string,string,string,string,string
id,author_id,title,content,yunlv_rule,author,dynasty
244313,9403,偈頌六十八首  其二五,登天不假梯，徧地無行路。|可憐杜衲僧，邯鄲學唐步。,平平仄仄平，仄仄平○仄。|仄平仄仄平，平平仄平仄。,釋法薰,S
244314,9403,偈頌六十八首  其二六,動容揚古路，不墮悄然機。|承言者喪，滯句者迷。|不承言，不滯句，蝦,仄平平仄仄，仄○仄平平。|平平仄○，仄仄仄平。|仄平平，仄仄仄，平平平仄仄平，平○平仄仄仄。,釋法薰,S
244315,9403,偈頌六十八首  其二七,百尺竿頭行闊步，紫羅帳裏撒真珠。|山僧贏得呵呵笑，未審諸人會也無。,仄仄平平平仄仄，仄平仄仄仄平平。|平平平仄平平仄，仄仄平平仄仄平。,釋法薰,S
244316,9403,偈頌六十八首  其二八,東山正脈，不絕如線。|睡虎去無蹤，一斑今復見。,平平○仄，仄仄○仄。|仄仄仄平平，仄平平仄仄。,釋法薰,S
244317,9403,偈頌六十八首  其二九,若論此事，何必多言。|不在內，不在外，不在中間，離婁行處浪滔天。,仄○仄仄，平仄平平。|仄仄仄，仄仄仄，仄仄○○，○平○仄○平平。,釋法薰,S
244318,9403,偈頌六十八首  其三○,識得一，萬事畢。|秘魔擎叉，魯祖面壁。|臨際三玄三要，洞山五位君臣，雲門念七，是一不是一。|昨夜新州老盧，失却腰間特石。,仄仄仄，仄仄仄。|仄平平平，仄仄仄仄。|○仄○平○仄，仄平仄仄平平，平平仄仄，仄仄仄仄仄。|仄仄平平仄平，仄仄平○仄仄。,釋法薰,S
244319,9403,偈頌六十八首  其三一,不參禪，不論義，拖箇破席日裏睡。|賺他伎死禪和，至今坐在冷地。|靈山不然，因行掉臂。|買石得雲饒，移花兼蝶至。,仄○○，仄○仄，仄仄仄仄仄仄仄。|仄平仄仄○○，仄平仄仄仄仄。|平平仄平，平○仄仄。|仄仄仄平平，平平○仄仄。,釋法薰,S
244320,9403,偈頌六十八首  其三二,喝如雷，棒如雨。|大地絕纖塵，回頭無覓處。|無覓處，昨日有人從天台來，却往徑山去。,仄○平，仄○仄。|仄仄仄平平，○平平仄仄。|平仄仄，仄仄仄平○平平平，仄仄仄平仄。,釋法薰,S
244321,9403,偈頌六十八首  其三三,七十九年間，大地遭欺誑。|且喜葛藤根，今朝嚗地斷。|後代兒孫，三馬九亂。,仄仄仄平○，仄仄平平仄。|○仄仄平平，平平仄仄仄。|仄仄平平，○仄仄仄。,釋法薰,S
244322,9403,偈頌六十八首  其三四,佛來也打，祖來也打，德山老人，甚生風彩。|靈山這裏，佛來也著，祖來也著，手中拄杖，權且架閣。|擎茶掃地，也要一箇半箇。,仄平仄仄，仄平仄仄，仄平仄平，仄平平仄。|平平？仄，仄平仄仄，仄平仄仄，仄○仄仄，平○仄仄。|平○仄仄，仄仄仄仄仄仄。,釋法薰,S
244323,9403,偈頌六十八首  其三五,兔馬有角，牛羊無角。|不知不會，事同一家。|多見多聞，千差萬別，畢竟天無第二月。,仄仄仄仄，平平平仄。|仄平仄仄，仄平仄平。|平仄平○，平平仄仄，仄仄平平仄仄仄。,釋法薰,S
244324,9403,偈頌六十八首  其三六,昨宵困倒床上，直至五皷方甦。|今日陞堂，言句都無。|且望大衆，智不責愚。,仄平仄仄平仄，仄仄仄仄平平。|平仄平平，平仄平平。|○仄仄仄，仄仄仄平。,釋法薰,S
244325,9403,偈頌六十八首  其三七,網細魚稠，藥多病甚。|棒喝交馳，一品二品。|山僧恁麽逞馿唇，癡客徒勞勸主人。,仄仄平平，仄平仄仄。|仄仄平平，仄仄仄仄。|平平仄○仄平平，平仄平○仄仄平。,釋法薰,S
244326,9403,偈頌六十八首  其三八,春光冉冉，春日遲遲。|春風包裹，上下四維。|黄鶑聲在柳陰西，此意明明說向誰。,平平仄仄，平仄○○。|平平平仄，仄仄仄平。|平平平仄仄平平，仄仄平平仄仄平。,釋法薰,S
244327,9403,偈頌六十八首  其三九,欲得見前，莫存順逆。|築著磕著，無處尋覓。,仄仄仄平，仄平仄仄。|仄仄仄仄，平仄平仄。,釋法薰,S
244328,9403,偈頌六十八首  其四○,鐵壁鐵壁復鐵壁，那邊那邊更那邊。|事到極頭須倒斷，瞎馿,仄仄仄仄仄仄仄，仄平仄平○仄平。|仄仄仄平平仄仄，仄平仄平○平平。,釋法薰,S
244329,9403,偈頌六十八首  其四一,靈隠雖則無能，要與花藥相見。|十七十八，證龜成鱉。|十九二十，半夜潑墨。|直須枯木生花，胡餠出汁。,平仄平仄平平，仄仄平仄○仄。|仄仄仄仄，仄平平仄。|仄仄仄仄，仄仄仄仄。|仄平平仄平平，平仄仄仄。,釋法薰,S
